,time,num_restricoes
4,0.01600000000325963,14
9,0.0,74
14,0.03200000000651926,184
19,0.01600000000325963,344
24,0.031000000017229468,554
29,0.125,814
34,0.125,1124
39,0.125,1484
44,0.2340000000258442,1894
49,0.15599999998812564,2354
54,0.20300000000861473,2864
59,0.375,3424
64,0.26600000000325963,4034
69,0.625,4694
74,1.25,5404
79,0.7339999999967404,6164
84,0.3120000000053551,6974
89,0.29699999999138527,7834
94,1.0940000000118744,8744
99,1.6719999999913853,9704
